4
23:26:08.532312 IP jg-comp3134.ssh > 142.188.231.51.60282: Flags [P.], seq 9834500:9834664, ack 5365, win 501, length 164
23:26:08.532370 IP jg-comp3134.ssh > 142.188.231.51.60282: Flags [P.], seq 9834664:9834828, ack 5365, win 501, length 164
23:26:08.532427 IP jg-comp3134.ssh > 142.188.231.51.60282: Flags [P.], seq 9834828:9834992, ack 5365, win 501, length 164
23:26:08.532485 IP jg-comp3134.ssh > 142.188.231.51.60282: Flags [P.], seq 9834992:9835156, ack 5365, win 501, length 164
23:26:08.532579 IP jg-comp3134.ssh > 142.188.231.51.60282: Flags [P.], seq 9835156:9835320, ack 5365, win 501, length 164
23:26:08.532734 IP jg-comp3134.ssh > 142.188.231.51.60282: Flags [P.], seq 9835320:9835484, ack 5365, win 501, length 164
23:26:08.532817 IP jg-comp3134.ssh > 142.188.231.51.60282: Flags [P.], seq 9835484:9835648, ack 5365, win 501, length 164
23:26:08.532882 IP jg-comp3134.ssh > 142.188.231.51.60282: Flags [P.], seq 9835648:9835812, ack 5365, win 501, length 164
23:26:08.532937 IP jg-comp3134.ssh > 142.188.231.51.60282: Flags [P.], seq 9835812:9835976, ack 5365, win 501, length 164
23:26:08.533056 IP jg-comp3134.ssh > 142.188.231.51.60282: Flags [P.], seq 9835976:9836140, ack 5365, win 501, length 164
23:26:08.533210 IP jg-comp3134.ssh > 142.188.231.51.60282: Flags [P.], seq 9836140:9836304, ack 5365, win 501, length 164
23:26:08.533311 IP jg-comp3134.ssh > 142.188.231.51.60282: Flags [P.], seq 9836304:9836468, ack 5365, win 501, length 164
23:26:08.533392 IP jg-comp3134.ssh > 142.188.231.51.60282: Flags [P.], seq 9836468:9836632, ack 5365, win 501, length 164
23:26:08.533454 IP jg-comp3134.ssh > 142.188.231.51.60282: Flags [P.], seq 9836632:9836796, ack 5365, win 501, length 164
23:26:08.533534 IP jg-comp3134.ssh > 142.188.231.51.60282: Flags [P.], seq 9836796:9836960, ack 5365, win 501, length 164
23:26:08.533697 IP jg-comp3134.ssh > 142.188.231.51.60282: Flags [P.], seq 9836960:9837124, ack 5365, win 501, length 164
23:26:08.533782 IP jg-comp3134.ssh > 142.188.231.51.60282: Flags [P.], seq 9837124:9837288, ack 5365, win 501, length 164
23:26:08.533832 IP jg-comp3134.ssh > 142.188.231.51.60282: Flags [P.], seq 9837288:9837452, ack 5365, win 501, length 164
23:26:08.533878 IP jg-comp3134.ssh > 142.188.231.51.60282: Flags [P.], seq 9837452:9837616, ack 5365, win 501, length 164
23:26:08.533933 IP jg-comp3134.ssh > 142.188.231.51.60282: Flags [P.], seq 9837616:9837780, ack 5365, win 501, length 164
23:26:08.533979 IP jg-comp3134.ssh > 142.188.231.51.60282: Flags [P.], seq 9837780:9837944, ack 5365, win 501, length 16
